"","time_CFU_trans","time_CFU_recip","Even_trans","prop_trans","ratio_trans","Even_recip","prop_recip","ratio_recip","trans_pop_size","recip_pop_size"
"1",NA,NA,NA,0,NA,NA,0,NA,0,0
"2",NA,NA,NA,0,NA,NA,0,NA,0,0
"3",NA,NA,NA,0,NA,NA,0,NA,0,0
"4",NA,NA,NA,0,NA,NA,0,NA,0,0
"5",NA,NA,NA,0,NA,NA,0,NA,0,0
"6",NA,NA,NA,0,NA,NA,0,NA,0,0
"7",0.485841013410281,NA,0,0.25,NA,0,0.333333333333333,NA,993214439,1
"8",NA,NA,NA,0,NA,NA,0,NA,0,0
"9",NA,NA,NA,0,NA,NA,0,NA,0,0
"10",4.22119144712773,NA,0,0.25,NA,0,0.333333333333333,NA,992462664,0
"11",NA,NA,NA,0,NA,NA,0,NA,0,0
"12",NA,NA,0,0.25,NA,0,0.333333333333333,NA,13,0
"13",3.24362153774216,NA,0,0.25,NA,0,0.333333333333333,NA,992791411,0
"14",NA,NA,NA,0,NA,NA,0,NA,0,0
"15",NA,NA,NA,0,NA,NA,0,NA,0,0
"16",NA,NA,NA,0,NA,NA,0,NA,0,0
"17",NA,NA,NA,0,NA,NA,0,NA,0,0
"18",NA,NA,NA,0,NA,NA,0,NA,0,0
"19",7.26748770842238,NA,0,0.25,NA,0,0.333333333333333,NA,992210672,0
"20",2.77948234192439,NA,0,0.25,NA,0,0.333333333333333,NA,992515287,0
"21",NA,NA,NA,0,NA,NA,0,NA,0,0
"22",NA,NA,NA,0,NA,NA,0,NA,0,0
"23",NA,NA,NA,0,NA,NA,0,NA,0,0
"24",NA,NA,NA,0,NA,NA,0,NA,0,0
"25",NA,NA,NA,0,NA,NA,0,NA,0,0
"26",4.15745459245467,NA,0,0.25,NA,0,0.333333333333333,NA,992256227,0
"27",6.05474116276493,NA,0,0.25,NA,0,0.333333333333333,NA,990929966,0
"28",NA,NA,NA,0,NA,NA,0,NA,0,0
"29",4.68189185072391,NA,0,0.25,NA,0,0.333333333333333,NA,992023059,0
"30",NA,NA,NA,0,NA,NA,0,NA,0,0
"31",NA,NA,NA,0,NA,NA,0,NA,0,0
"32",7.87132107894344,NA,0,0.25,NA,0,0.333333333333333,NA,46800359,0
"33",NA,NA,NA,0,NA,NA,0,NA,0,0
"34",NA,NA,NA,0,NA,NA,0,NA,0,0
"35",3.40644971864231,NA,0,0.25,NA,0,0.333333333333333,NA,992965342,0
"36",2.75740819126929,NA,0,0.25,NA,0,0.333333333333333,NA,992388065,0
"37",NA,NA,NA,0,NA,NA,0,NA,0,0
"38",NA,NA,NA,0,NA,NA,0,NA,0,0
"39",3.91387635043921,NA,0,0.25,NA,0,0.333333333333333,NA,992221055,0
"40",NA,NA,NA,0,NA,NA,0,NA,0,0
"41",NA,NA,NA,0,NA,NA,0,NA,0,0
"42",2.66774974856179,NA,0,0.25,NA,0,0.333333333333333,NA,992130343,0
"43",NA,NA,NA,0,NA,NA,0,NA,0,0
"44",NA,NA,NA,0,NA,NA,0,NA,0,0
"45",NA,NA,NA,0,NA,NA,0,NA,0,0
"46",NA,NA,NA,0,NA,NA,0,NA,0,0
"47",3.36419506836002,NA,0,0.25,NA,0,0.333333333333333,NA,992434775,0
"48",NA,NA,NA,0,NA,NA,0,NA,0,0
"49",NA,NA,NA,0,NA,NA,0,NA,0,0
"50",NA,NA,NA,0,NA,NA,0,NA,0,0
"51",NA,NA,NA,0,NA,NA,0,NA,0,0
"52",6.93273442026672,NA,0,0.25,NA,0,0.333333333333333,NA,993180780,0
"53",NA,NA,NA,0,NA,NA,0,NA,0,0
"54",NA,NA,NA,0,NA,NA,0,NA,0,0
"55",1.68882388532369,NA,0,0.25,NA,0,0.333333333333333,NA,992045235,0
"56",4.53046649209255,NA,0,0.25,NA,0,0.333333333333333,NA,992367795,0
"57",NA,NA,NA,0,NA,NA,0,NA,0,0
"58",2.51199751355056,NA,0,0.25,NA,0,0.333333333333333,NA,993044519,0
"59",7.76176830694369,NA,0,0.25,NA,0,0.333333333333333,NA,572415399,0
"60",5.44956139972324,NA,0,0.25,NA,0,0.333333333333333,NA,992444980,0
"61",7.24325405215205,NA,0,0.25,NA,0,0.333333333333333,NA,991722194,1
"62",NA,NA,NA,0,NA,NA,0,NA,0,0
"63",NA,NA,NA,0,NA,NA,0,NA,0,0
"64",NA,NA,NA,0,NA,NA,0,NA,0,0
"65",1.49739515238432,NA,0,0.25,NA,0,0.333333333333333,NA,992266927,0
"66",NA,NA,NA,0,NA,NA,0,NA,0,0
"67",5.97524798272652,NA,0,0.25,NA,0,0.333333333333333,NA,992059232,0
"68",NA,NA,NA,0,NA,NA,0,NA,0,0
"69",NA,NA,NA,0,NA,NA,0,NA,0,0
"70",NA,NA,NA,0,NA,NA,0,NA,0,0
"71",7.95124985351371,NA,0,0.25,NA,0,0.333333333333333,NA,4357601,0
"72",3.82354650311939,NA,0,0.25,NA,0,0.333333333333333,NA,993404032,0
"73",NA,NA,NA,0,NA,NA,0,NA,0,0
"74",NA,NA,NA,0,NA,NA,0,NA,0,0
"75",NA,NA,NA,0,NA,NA,0,NA,0,0
"76",NA,NA,NA,0,NA,NA,0,NA,0,0
"77",7.26430610324846,NA,0,0.25,NA,0,0.333333333333333,NA,991603246,0
"78",NA,NA,NA,0,NA,NA,0,NA,0,0
"79",NA,NA,NA,0,NA,NA,0,NA,0,0
"80",7.24708123078186,NA,0,0.25,NA,0,0.333333333333333,NA,992468191,0
"81",NA,NA,NA,0,NA,NA,0,NA,0,0
"82",NA,NA,NA,0,NA,NA,0,NA,0,0
"83",3.02823792373067,NA,0,0.25,NA,0,0.333333333333333,NA,992367860,0
"84",NA,NA,NA,0,NA,NA,0,NA,0,0
"85",NA,NA,NA,0,NA,NA,0,NA,0,0
"86",NA,NA,NA,0,NA,NA,0,NA,0,0
"87",NA,NA,NA,0,NA,NA,0,NA,0,0
"88",0.646035231810449,NA,0,0.25,NA,0,0.333333333333333,NA,991649623,0
"89",NA,NA,NA,0,NA,NA,0,NA,0,0
"90",6.33455250758197,NA,0,0.25,NA,0,0.333333333333333,NA,992744331,0
"91",NA,NA,NA,0,NA,NA,0,NA,0,0
"92",NA,NA,NA,0,NA,NA,0,NA,0,0
"93",NA,NA,NA,0,NA,NA,0,NA,0,0
"94",4.01476012334928,NA,0.000915974920179104,0.5,726.821965405242,0,0.333333333333333,NA,992470405,0
"95",NA,NA,NA,0,NA,NA,0,NA,0,0
"96",1.87350483882951,NA,0,0.25,NA,0,0.333333333333333,NA,992662379,0
"97",NA,NA,NA,0,NA,NA,0,NA,0,0
"98",5.71026557223974,NA,0,0.25,NA,0,0.333333333333333,NA,992930957,0
"99",NA,NA,NA,0,NA,NA,0,NA,0,0
"100",NA,NA,NA,0,NA,NA,0,NA,0,0
